image,x,y,z,qx,qy,qz,qw
images/frame_000114.png,5.253615826326698,1.925981036588919,0.0,0.0,0.0,-0.8166849671953708,0.5770837585282541
images/frame_000115.png,5.242674654314273,1.894276164261541,0.0,0.0,0.0,-0.8121128899055396,0.5835003462289227
images/frame_000116.png,5.233461901394355,1.8663781226529192,0.0,0.0,0.0,-0.8088682192269098,0.5879899692381564
images/frame_000117.png,5.225773987731868,1.8423585176340043,0.0,0.0,0.0,-0.8066779808476832,0.5909912310817353
images/frame_000118.png,5.214716399050483,1.8106300420861394,0.0,0.0,0.0,-0.8049657124104774,0.593321331020125
images/frame_000119.png,5.199711846043586,1.7798449318920784,0.0,0.0,0.0,-0.8057984659389937,0.5921898616916407
images/frame_000120.png,5.189786827798751,1.747807089179176,0.0,0.0,0.0,-0.8042641525976993,0.594271968753621
images/frame_000121.png,5.179973115502482,1.7157349461647637,0.0,0.0,0.0,-0.8037415989126225,0.5949785224505009
images/frame_000122.png,5.1701966995513,1.6836514139498897,0.0,0.0,0.0,-0.8033337921397642,0.5955290239831692
images/frame_000123.png,5.161675130081647,1.6555343874591126,0.0,0.0,0.0,-0.8030529715267992,0.595907647980774
images/frame_000124.png,5.1543537522674,1.6314004769059727,0.0,0.0,0.0,-0.8035722075241828,0.5952072809490084
images/frame_000125.png,5.145799066215332,1.603565431168227,0.0,0.0,0.0,-0.8050954997478873,0.5931452067459534
images/frame_000126.png,5.137008365384417,1.5755314225249646,0.0,0.0,0.0,-0.8068032625423364,0.5908201888485548
images/frame_000127.png,5.121081801961369,1.5466679087969761,0.0,0.0,0.0,-0.8114117661331606,0.584474931695676
images/frame_000128.png,5.110390315286509,1.5148776328032505,0.0,0.0,0.0,-0.8127915534386975,0.5825546246136144
images/frame_000129.png,5.100850149144867,1.4870897629211206,0.0,0.0,0.0,-0.8149127163593066,0.579583699491192
images/frame_000130.png,5.089713806769682,1.4554526324377326,0.0,0.0,0.0,-0.8171058743064622,0.5764876322817969
images/frame_000131.png,5.078377180164528,1.4238866763505995,0.0,0.0,0.0,-0.8187054997116474,0.5742136403307588
images/frame_000132.png,5.068323235054773,1.396280480495213,0.0,0.0,0.0,-0.8193639715818469,0.5732736537410581
images/frame_000133.png,5.0582754759165205,1.3686720286877025,0.0,0.0,0.0,-0.8187625528236339,0.5741322862317764
images/frame_000134.png,5.046897395377949,1.337120956030975,0.0,0.0,0.0,-0.8180076038690138,0.5752074060827755
images/frame_000135.png,5.039926535893956,1.3049734569111502,0.0,0.0,0.0,-0.8174368520272446,0.5760182227567012
images/frame_000136.png,5.0286135033288755,1.273398996214727,0.0,0.0,0.0,-0.8178749439172445,0.5753960167678989
images/frame_000137.png,5.0172730934902425,1.2418343534536436,0.0,0.0,0.0,-0.8179995591060751,0.5752188464421751
images/frame_000138.png,5.0059213743527184,1.2102737774993115,0.0,0.0,0.0,-0.8183360036680728,0.5747401022206192
